No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,Time 1,Time 2,delay 1,delay 2,jitter,,,,,,Time 1,Time 2,delay,delay 2,jitter
53,7.991839,35.186.224.25,192.168.100.11,TCP,56,443  >  61103 [ACK] Seq=1200 Ack=434 Win=605 Len=0,,,,,,,,,,,7.991839,8.08229,0.090451,0.000211,0.09024,,,,,,7.991839,8.08229,0.090451,0.000211,0.09024
54,8.08229,35.186.224.25,192.168.100.11,TLSv1.2,129,Application Data,,,,,,,,,,,8.08229,8.082501,0.000211,5.50E-05,0.000156,,,,,,8.08229,8.082501,0.000211,5.50E-05,0.000156
55,8.082501,35.186.224.25,192.168.100.11,TLSv1.2,842,Application Data,,,,,,,,,,,8.082501,8.082556,5.50E-05,0.000218,-0.000163,,,,,,8.082501,8.082556,5.50E-05,0.000218,-0.000163
56,8.082556,192.168.100.11,35.186.224.25,TCP,54,61103  >  443 [ACK] Seq=434 Ack=2063 Win=509 Len=0,,,,,,,,,,,8.082556,8.082774,0.000218,0,0.000218,,,,,,8.082556,8.082774,0.000218,0,0.000218
57,8.082774,35.186.224.25,192.168.100.11,TLSv1.2,283,Application Data,,,,,,,,,,,8.082774,8.082774,0,5.20E-05,-5.20E-05,,,,,,8.082774,8.082774,0,5.20E-05,-0.000052
58,8.082774,35.186.224.25,192.168.100.11,TLSv1.2,93,Application Data,,,,,,,,,,,8.082774,8.082826,5.20E-05,0.000884,-0.000832,,,,,,8.082774,8.082826,5.20E-05,0.000884,-0.000832
59,8.082826,192.168.100.11,35.186.224.25,TCP,54,61103  >  443 [ACK] Seq=434 Ack=2331 Win=508 Len=0,,,,,,,,,,,8.082826,8.08371,0.000884,0.012243,-0.011359,,,,,,8.082826,8.08371,0.000884,0.012243,-0.011359
60,8.08371,192.168.100.11,35.186.224.25,TLSv1.2,93,Application Data,,,,,,,,,,,8.08371,8.095953,0.012243,2.046893,-2.03465,,,,,,8.08371,8.095953,0.012243,2.046893,-2.03465
61,8.095953,35.186.224.25,192.168.100.11,TCP,56,443  >  61103 [ACK] Seq=2331 Ack=473 Win=605 Len=0,,,,,,,,,,,8.095953,10.142846,2.046893,0.101289,1.945604,,,,,,8.095953,10.142846,2.046893,0.101289,1.945604
62,10.142846,192.168.100.11,35.186.224.39,TLSv1.2,97,Application Data,,,,,,,,,,,10.142846,10.244135,0.101289,0.090928,0.010361,,,,,,10.142846,10.244135,0.101289,0.090928,0.010361
63,10.244135,35.186.224.39,192.168.100.11,TCP,54,443  >  61119 [ACK] Seq=1 Ack=44 Win=272 Len=0,,,,,,,,,,,10.244135,10.335063,0.090928,0.053085,0.037843,,,,,,10.244135,10.335063,0.090928,0.053085,0.037843
64,10.335063,35.186.224.39,192.168.100.11,TLSv1.2,94,Application Data,,,,,,,,,,,10.335063,10.388148,0.053085,0.529781,-0.476696,,,,,,10.335063,10.388148,0.053085,0.529781,-0.476696
65,10.388148,192.168.100.11,35.186.224.39,TCP,54,61119  >  443 [ACK] Seq=44 Ack=41 Win=511 Len=0,,,,,,,,,,,10.388148,10.917929,0.529781,0.000119,0.529662,,,,,,10.388148,10.917929,0.529781,0.000119,0.529662
66,10.917929,192.168.100.11,35.186.224.25,TLSv1.2,136,Application Data,,,,,,,,,,,10.917929,10.918048,0.000119,0.042704,-0.042585,,,,,,10.917929,10.918048,0.000119,0.042704,-0.042585
67,10.918048,192.168.100.11,35.186.224.25,TLSv1.2,169,Application Data,,,,,,,,,,,10.918048,10.960752,0.042704,0.000232,0.042472,,,,,,10.918048,10.960752,0.042704,0.000232,0.042472
68,10.960752,35.186.224.25,192.168.100.11,TCP,56,443  >  61103 [ACK] Seq=2331 Ack=555 Win=605 Len=0,,,,,,,,,,,10.960752,10.960984,0.000232,0.090849,-0.090617,,,,,,10.960752,10.960984,0.000232,0.090849,-0.090617
69,10.960984,35.186.224.25,192.168.100.11,TCP,56,443  >  61103 [ACK] Seq=2331 Ack=670 Win=605 Len=0,,,,,,,,,,,10.960984,11.051833,0.090849,0.00023,0.090619,,,,,,10.960984,11.051833,0.090849,0.00023,0.090619
70,11.051833,35.186.224.25,192.168.100.11,TLSv1.2,129,Application Data,,,,,,,,,,,11.051833,11.052063,0.00023,7.60E-05,0.000154,,,,,,11.051833,11.052063,0.00023,7.60E-05,0.000154
71,11.052063,35.186.224.25,192.168.100.11,TLSv1.2,977,Application Data,,,,,,,,,,,11.052063,11.052139,7.60E-05,0.000273,-0.000197,,,,,,11.052063,11.052139,7.60E-05,0.000273,-0.000197
72,11.052139,192.168.100.11,35.186.224.25,TCP,54,61103  >  443 [ACK] Seq=670 Ack=3329 Win=512 Len=0,,,,,,,,,,,11.052139,11.052412,0.000273,0,0.000273,,,,,,11.052139,11.052412,0.000273,0,0.000273
73,11.052412,35.186.224.25,192.168.100.11,TLSv1.2,216,Application Data,,,,,,,,,,,11.052412,11.052412,0,7.70E-05,-7.70E-05,,,,,,11.052412,11.052412,0,7.70E-05,-0.000077
74,11.052412,35.186.224.25,192.168.100.11,TLSv1.2,93,Application Data,,,,,,,,,,,11.052412,11.052489,7.70E-05,0.001006,-0.000929,,,,,,11.052412,11.052489,7.70E-05,0.001006,-0.000929
75,11.052489,192.168.100.11,35.186.224.25,TCP,54,61103  >  443 [ACK] Seq=670 Ack=3530 Win=512 Len=0,,,,,,,,,,,11.052489,11.053495,0.001006,0.012417,-0.011411,,,,,,11.052489,11.053495,0.001006,0.012417,-0.011411
76,11.053495,192.168.100.11,35.186.224.25,TLSv1.2,93,Application Data,,,,,,,,,,,11.053495,11.065912,0.012417,0.779711,-0.767294,,,,,,11.053495,11.065912,0.012417,0.779711,-0.767294
77,11.065912,35.186.224.25,192.168.100.11,TCP,56,443  >  61103 [ACK] Seq=3530 Ack=709 Win=605 Len=0,,,,,,,,,,,11.065912,11.845623,0.779711,0.128575,0.651136,,,,,,11.065912,11.845623,0.779711,0.128575,0.651136
85,11.845623,192.168.100.11,147.92.249.185,SSLv2,66,"Encrypted Data, Continuation Data",,,,,,,,,,,11.845623,11.974198,0.128575,0.00023,0.128345,,,,,,11.845623,11.974198,0.128575,0.00023,0.128345
87,11.974198,147.92.249.185,192.168.100.11,TCP,54,443  >  61136 [ACK] Seq=1 Ack=13 Win=32436 Len=0,,,,,,,,,,,11.974198,11.974428,0.00023,0.040067,-0.039837,,,,,,11.974198,11.974428,0.00023,0.040067,-0.039837
88,11.974428,147.92.249.185,192.168.100.11,SSLv2,66,"Encrypted Data, Continuation Data",,,,,,,,,,,11.974428,12.014495,0.040067,3.189658,-3.149591,,,,,,11.974428,12.014495,0.040067,3.189658,-3.149591
89,12.014495,192.168.100.11,147.92.249.185,TCP,54,61136  >  443 [ACK] Seq=13 Ack=13 Win=64468 Len=0,,,,,,,,,,,12.014495,15.204153,3.189658,0.252418,2.93724,,,,,,12.014495,15.204153,3.189658,0.252418,2.93724
93,15.204153,192.168.100.11,20.50.80.210,TCP,66,61313  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,15.204153,15.456571,0.252418,0.000207,0.252211,,,,,,15.204153,15.456571,0.252418,0.000207,0.252211
94,15.456571,20.50.80.210,192.168.100.11,TCP,66,"443  >  61313 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1",,,,,,,,,,,15.456571,15.456778,0.000207,0.00051,-0.000303,,,,,,15.456571,15.456778,0.000207,0.00051,-0.000303
95,15.456778,192.168.100.11,20.50.80.210,TCP,54,61313  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0,,,,,,,,,,,15.456778,15.457288,0.00051,0.202645,-0.202135,,,,,,15.456778,15.457288,0.00051,0.202645,-0.202135
96,15.457288,192.168.100.11,20.50.80.210,TLSv1.2,283,Client Hello,,,,,,,,,,,15.457288,15.659933,0.202645,0.000214,0.202431,,,,,,15.457288,15.659933,0.202645,0.000214,0.202431
97,15.659933,20.50.80.210,192.168.100.11,TCP,1466,443  >  61313 [ACK] Seq=1 Ack=230 Win=524800 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,,,15.659933,15.660147,0.000214,0.00019,2.40E-05,,,,,,15.659933,15.660147,0.000214,0.00019,0.000024
